,var,var,var,var,PT2,PT2,PT,PT2
0,0.001,0.0007,0.0005,0.001,0.001,0.0007,0.0005,0.001
0,-55.75890254,-55.76013617,-55.76065507,-55.76094185,-55.76084038,-55.76099867,-55.76111644,-55.76116974
1,-55.75848562,-55.75969286,-55.7601977,-55.76047826,-55.76038146,-55.76053285,-55.76064716,-55.7606987
2,-55.75764695,-55.75879608,-55.75927715,-55.75954645,-55.75946159,-55.75960043,-55.75970636,-55.7597547
3,-55.75638191,-55.7574509,-55.75789441,-55.75814386,-55.75807664,-55.75819888,-55.75829083,-55.75833407
4,-55.7546807,-55.75565024,-55.75604436,-55.75626394,-55.75622025,-55.75632001,-55.75639526,-55.75643063
5,-55.75253007,-55.75338984,-55.75372324,-55.75389981,-55.7538836,-55.75395787,-55.75401382,-55.75403805
