,var,var,var,var,var,PT2,PT2,PT2,PT2,PT2
0,"6.4e-4,","3.2e-4,","1.6e-4,","8e-5,","4e-5,","6.4e-4,","3.2e-4,","1.6e-4,","8e-5,","4e-5,"
0,-193.8129675,-193.8131205,-193.8131908,-193.8132409,-193.8132754,-193.8132779,-193.8132894,-193.8132837,-193.8132917,-193.8132988
