All energies in eV,,,,,,
CIPSI Threshold,0.0004,0.0006,0.0008,0.0004,0.0006,0.0008
Root,VAR,VAR,VAR,PT,PT,PT
1,-25024.44913,-25024.44465,-25024.44233,-25024.45949,-25024.45902,-25024.45863
2,-25021.26706,-25021.25448,-25021.24546,-25021.29999,-25021.29884,-25021.29746
3,-25020.72137,-25020.70892,-25020.70039,-25020.75374,-25020.75213,-25020.75037
4,-25020.719,-25020.70659,-25020.69742,-25020.75224,-25020.75063,-25020.74884
5,-25020.15659,-25020.14141,-25020.13,-25020.19987,-25020.1981,-25020.19618
6,-25020.0737,-25020.06441,-25020.05842,-25020.09626,-25020.09488,-25020.09348
7,-25020.01619,-25020.00215,-25019.99207,-25020.05321,-25020.05115,-25020.04872
8,-25020.01543,-25020.00197,-25019.9917,-25020.05254,-25020.05055,-25020.0486
9,-25019.65384,-25019.64125,-25019.63342,-25019.68753,-25019.68542,-25019.68354
10,-25019.64667,-25019.63433,-25019.62569,-25019.67919,-25019.67722,-25019.67522
11,-25019.6459,-25019.63398,-25019.6261,-25019.67901,-25019.6772,-25019.67527
12,-25019.57715,-25019.56673,-25019.55814,-25019.61064,-25019.60891,-25019.60696
13,-25019.57441,-25019.56273,-25019.55391,-25019.60962,-25019.60772,-25019.60566
14,-25019.50948,-25019.49742,-25019.48907,-25019.54162,-25019.53959,-25019.53749
15,-25019.50906,-25019.49708,-25019.48805,-25019.54178,-25019.53981,-25019.53756
16,-25019.47633,-25019.46535,-25019.45703,-25019.50894,-25019.50719,-25019.50532
17,-25019.4482,-25019.43804,-25019.43048,-25019.47667,-25019.47511,-25019.47331
