,var,var,var,var,var,var,var,PT,PT,PT,PT,PT,PT,PT
0,0.00064,0.00032,0.00016,0.00008,0.00004,0.00002,0.00001,0.00064,0.00032,0.00016,0.00008,0.00004,0.00002,0.00001
0,-55.74933879,-55.75012568,-55.75026426,-55.75033345,-55.7503604,-55.75037014,-55.75037367,-55.7501999,-55.75032135,-55.75035074,-55.75036666,-55.75037284,-55.75037478,-55.75037542
1,-55.74897053,-55.74973452,-55.74986918,-55.74993697,-55.74996299,-55.7499724,-55.74997582,-55.749809,-55.74992524,-55.74995371,-55.74996913,-55.74997501,-55.74997686,-55.74997748
2,-55.74822917,-55.74894644,-55.74907527,-55.74913884,-55.74916336,-55.74917205,-55.74917516,-55.74902242,-55.74912818,-55.74915499,-55.74916909,-55.74917442,-55.74917608,-55.74917663
3,-55.74710478,-55.74775204,-55.74787239,-55.74792941,-55.74795133,-55.74795884,-55.74796151,-55.74783041,-55.74791935,-55.74794425,-55.74795636,-55.74796086,-55.74796224,-55.7479627
4,-55.74558148,-55.74613415,-55.74624576,-55.74629276,-55.7463109,-55.7463167,-55.74631883,-55.74621736,-55.74628196,-55.74630563,-55.74631488,-55.74631834,-55.74631933,-55.74631967
5,-55.74363641,-55.74406879,-55.74417338,-55.74420623,-55.74421924,-55.7442228,-55.74422429,-55.74416103,-55.74419192,-55.74421631,-55.74422176,-55.74422405,-55.74422458,-55.74422476
