IDX001:DIM16777216:001|002|003|004|005|006|007|008|009|010|011|012|
IDX002:DIM16777216:013|014|015|016|017|018|019|020|021|022|023|024|
 Solve OO-CMF with DIIS
Overwritten attributes  conv_tol_residual  of <class 'pyscf.fci.direct_spin1.FCISolver'>
 ooCMF Iter:   73 Total= -3343.976102323789 G=     5.94e-07 #SS:    8
 ooCMF Iter:   74 Total= -3343.976102323795 G=     5.75e-07 #SS:    8
 ooCMF Iter:   75 Total= -3343.976102323792 G=     5.65e-07 #SS:    8
 ooCMF Iter:   76 Total= -3343.976102323790 G=     5.60e-07 #SS:    8
 ooCMF Iter:   77 Total= -3343.976102323792 G=     5.50e-07 #SS:    8
 ooCMF Iter:   78 Total= -3343.976102323793 G=     5.33e-07 #SS:    8
 ooCMF Iter:   79 Total= -3343.976102323797 G=     4.88e-07 #SS:    8
 ooCMF Iter:   80 Total= -3343.976102323797 G=     4.27e-07 #SS:    8
 ooCMF Iter:   81 Total= -3343.976102323796 G=     4.08e-07 #SS:    8
 ooCMF Iter:   82 Total= -3343.976102323798 G=     4.01e-07 #SS:    8
 ooCMF Iter:   83 Total= -3343.976102323798 G=     3.91e-07 #SS:    8
 ooCMF Iter:   84 Total= -3343.976102323796 G=     3.82e-07 #SS:    8
 ooCMF Iter:   85 Total= -3343.976102323800 G=     3.73e-07 #SS:    8
 ooCMF Iter:   86 Total= -3343.976102323799 G=     3.53e-07 #SS:    8
 ooCMF Iter:   87 Total= -3343.976102323796 G=     3.18e-07 #SS:    8
 ooCMF Iter:   88 Total= -3343.976102323800 G=     2.62e-07 #SS:    8
 ooCMF Iter:   89 Total= -3343.976102323799 G=     2.29e-07 #SS:    8
 ooCMF Iter:   90 Total= -3343.976102323800 G=     2.22e-07 #SS:    8
 ooCMF Iter:   91 Total= -3343.976102323798 G=     2.18e-07 #SS:    8
 ooCMF Iter:   92 Total= -3343.976102323800 G=     2.14e-07 #SS:    8
 ooCMF Iter:   93 Total= -3343.976102323800 G=     2.11e-07 #SS:    8
 ooCMF Iter:   94 Total= -3343.976102323798 G=     2.07e-07 #SS:    8
 ooCMF Iter:   95 Total= -3343.976102323800 G=     1.96e-07 #SS:    8
 ooCMF Iter:   96 Total= -3343.976102323802 G=     1.78e-07 #SS:    8
 ooCMF Iter:   97 Total= -3343.976102323798 G=     1.59e-07 #SS:    8
 ooCMF Iter:   98 Total= -3343.976102323799 G=     1.51e-07 #SS:    8
 ooCMF Iter:   99 Total= -3343.976102323800 G=     1.49e-07 #SS:    8
 ooCMF Iter:  100 Total= -3343.976102323801 G=     1.46e-07 #SS:    8
 ooCMF Iter:  101 Total= -3343.976102323802 G=     1.43e-07 #SS:    8
 ooCMF Iter:  102 Total= -3343.976102323800 G=     1.41e-07 #SS:    8
 ooCMF Iter:  103 Total= -3343.976102323803 G=     1.37e-07 #SS:    8
 ooCMF Iter:  104 Total= -3343.976102323801 G=     1.27e-07 #SS:    8
 ooCMF Iter:  105 Total= -3343.976102323800 G=     1.17e-07 #SS:    8
 ooCMF Iter:  106 Total= -3343.976102323800 G=     1.09e-07 #SS:    8
 ooCMF Iter:  107 Total= -3343.976102323802 G=     1.07e-07 #SS:    8
 ooCMF Iter:  108 Total= -3343.976102323802 G=     1.06e-07 #SS:    8
 ooCMF Iter:  109 Total= -3343.976102323801 G=     1.05e-07 #SS:    8
 ooCMF Iter:  110 Total= -3343.976102323800 G=     1.04e-07 #SS:    8
 ooCMF Iter:  111 Total= -3343.976102323805 G=     1.02e-07 #SS:    8
*ooCMF Iter:  112 Total= -3343.976102323799 G=     9.61e-08 #SS:    8
