,var,var,var,var,var,var,var,PT,PT,PT,PT,PT,PT,PT
0,0.00064,0.00032,0.00016,0.00008,0.00004,0.00002,0.00001,0.00064,0.00032,0.00016,0.00008,0.00004,0.00002,0.00001
0,-55.74959626,-55.75047047,-55.75061963,-55.75072322,-55.75076423,-55.75078079,-55.75078615,-55.75059136,-55.75071971,-55.7507514,-55.75077595,-55.75078512,-55.75078796,-55.75078889
1,-55.74921996,-55.75007203,-55.75021686,-55.75031748,-55.75035653,-55.75037246,-55.75037759,-55.75019024,-55.75031381,-55.75034435,-55.75036785,-55.75037659,-55.7503793,-55.75038018
2,-55.74846346,-55.74926856,-55.74940575,-55.74950112,-55.749537,-55.74955187,-55.74955644,-55.7493843,-55.74949774,-55.74952607,-55.74954744,-55.74955546,-55.74955797,-55.74955873
3,-55.74731888,-55.74805344,-55.7481809,-55.748267,-55.74829764,-55.74831076,-55.74831457,-55.74816604,-55.74826302,-55.74828877,-55.74830688,-55.74831368,-55.74831582,-55.74831642
4,-55.7457737,-55.74641308,-55.74653024,-55.74660252,-55.74662597,-55.74663651,-55.74663941,-55.74652359,-55.7465962,-55.74662002,-55.74663378,-55.74663874,-55.74664034,-55.74664075
5,-55.74381006,-55.74432917,-55.7444381,-55.74449044,-55.74450499,-55.74451172,-55.74451368,-55.7444404,-55.74447864,-55.74450271,-55.74451099,-55.74451344,-55.74451429,-55.74451451
