,var,var,var,var,var,PT,PT,PT,PT,PT
0,0.00064,0.00032,0.00016,0.00008,0.00004,0.00064,0.00032,0.00016,0.00008,0.00004
0,-55.75728277,-55.75855119,-55.75888653,-55.75907548,-55.7591567,-55.75885977,-55.75905167,-55.75913936,-55.75918828,-55.75920603
1,-55.75687291,-55.75810204,-55.75842872,-55.75861223,-55.75869036,-55.75840481,-55.75858861,-55.75867317,-55.7587203,-55.75873731
2,-55.75604974,-55.7572056,-55.75751149,-55.75768319,-55.75775562,-55.75749317,-55.75766178,-55.75773919,-55.75778242,-55.75779804
3,-55.75480749,-55.75585882,-55.756133,-55.75628522,-55.75634866,-55.75612133,-55.75626741,-55.75633416,-55.75637123,-55.75638444
4,-55.75313625,-55.75405414,-55.75428815,-55.75441196,-55.75446374,-55.75428388,-55.75439998,-55.75445318,-55.75448157,-55.75449144
5,-55.75102226,-55.75178541,-55.75197257,-55.75205686,-55.75209456,-55.75197323,-55.7520535,-55.75209095,-55.75210779,-55.75211336
