,var,var,var,PT2,PT2,PT2
,0.00064,0.00032,0.00016,0.00064,0.00032,0.00016
0,-171.1803819,-171.1852474,-171.1869309,-171.1873282,-171.1885375,-171.1888008
1,-171.18017,-171.1850161,-171.1867035,-171.1870921,-171.1882958,-171.1885541
2,-171.1797406,-171.1845464,-171.1862403,-171.1866107,-171.1878114,-171.1880721
3,-171.1790824,-171.1838259,-171.1855238,-171.1858646,-171.1870568,-171.187312
