,var,var,var,PT2,PT2,PT2
,0.00064,0.00032,0.00016,0.00064,0.00032,0.00016
0,-0.00021199,-0.00023125,-0.00022739,-0.00023613,-0.0002417,-0.00024672
1,-0.00042939,-0.00046973,-0.00046314,-0.00048138,-0.00048438,-0.00048198
2,-0.00065821,-0.00072048,-0.00071654,-0.0007461,-0.00075465,-0.0007601
