All energies in eV,,,,,,
CIPSI Threshold,0.0004,0.0006,0.0008,0.0004,0.0006,0.0008
Root,VAR,VAR,VAR,PT,PT,PT
1,-37489.38992,-37489.37313,-37489.36393,-37489.43444,-37489.43204,-37489.42998
2,-37486.17013,-37486.12042,-37486.08123,-37486.30709,-37486.29963,-37486.28989
3,-37485.96139,-37485.91361,-37485.87682,-37486.09369,-37486.08676,-37486.07805
4,-37485.96055,-37485.91252,-37485.87456,-37486.09231,-37486.0854,-37486.0759
5,-37485.48185,-37485.43483,-37485.40038,-37485.60873,-37485.60087,-37485.59184
6,-37485.47929,-37485.43232,-37485.39632,-37485.60732,-37485.59994,-37485.59053
7,-37485.10598,-37485.05221,-37485.01316,-37485.25667,-37485.24737,-37485.23724
8,-37484.93054,-37484.87615,-37484.84303,-37485.08736,-37485.07683,-37485.06709
9,-37484.87435,-37484.83979,-37484.81724,-37484.96135,-37484.95629,-37484.95131
10,-37484.87005,-37484.81996,-37484.7826,-37485.02203,-37485.01316,-37485.00287
11,-37484.81367,-37484.76077,-37484.72673,-37484.96369,-37484.95367,-37484.94393
12,-37484.81119,-37484.7583,-37484.72853,-37484.96342,-37484.95327,-37484.94429
13,-37484.80194,-37484.75234,-37484.71666,-37484.94905,-37484.94031,-37484.93024
14,-37484.79952,-37484.74972,-37484.71261,-37484.94848,-37484.93999,-37484.93011
15,-37484.65184,-37484.60874,-37484.57718,-37484.77299,-37484.76227,-37484.75111
16,-37484.64926,-37484.60529,-37484.57935,-37484.77054,-37484.75873,-37484.74877
17,-37484.61636,-37484.56942,-37484.53647,-37484.74964,-37484.74344,-37484.73824
18,-37484.61443,-37484.56716,-37484.53383,-37484.74815,-37484.74453,-37484.73887
19,-37484.56243,-37484.51021,-37484.48493,-37484.70406,-37484.69372,-37484.68559
20,-37484.56175,-37484.51601,-37484.48332,-37484.70393,-37484.69544,-37484.6858
21,-37484.52259,-37484.47342,-37484.4396,-37484.66123,-37484.65195,-37484.64284
22,-37484.4246,-37484.37834,-37484.3511,-37484.55894,-37484.55054,-37484.5421
23,-37484.39306,-37484.35434,-37484.33353,-37484.50542,-37484.49815,-37484.49195
24,-37484.39064,-37484.35102,-37484.32338,-37484.50452,-37484.49674,-37484.49103
25,-37484.29516,-37484.25791,-37484.23513,-37484.40596,-37484.39864,-37484.39315
