All energies in eV,,,,,,
CIPSI Threshold,0.0004,0.0006,0.0008,0.0004,0.0006,0.0008
Root,VAR,VAR,VAR,PT,PT,PT
1,-24924.41974,-24924.40855,-24924.40165,-24924.44929,-24924.44749,-24924.446
2,-24921.70358,-24921.66242,-24921.63185,-24921.79779,-24921.79315,-24921.78794
3,-24921.02673,-24920.97834,-24920.94059,-24921.14422,-24921.13818,-24921.13089
4,-24921.02575,-24920.97736,-24920.94002,-24921.14387,-24921.13817,-24921.13069
5,-24920.77634,-24920.73571,-24920.70575,-24920.86807,-24920.86286,-24920.85761
6,-24920.77552,-24920.73418,-24920.70383,-24920.86826,-24920.86274,-24920.85716
7,-24920.58257,-24920.52989,-24920.48788,-24920.71424,-24920.70985,-24920.70346
8,-24920.00979,-24919.9628,-24919.92824,-24920.12028,-24920.11341,-24920.10572
9,-24919.92557,-24919.87848,-24919.84464,-24920.03997,-24920.03084,-24920.02169
10,-24919.92345,-24919.87436,-24919.83939,-24920.0393,-24920.03011,-24920.02092
11,-24919.88404,-24919.84274,-24919.81234,-24919.98658,-24919.97909,-24919.97184
12,-24919.88167,-24919.84003,-24919.80881,-24919.98591,-24919.97856,-24919.97101
13,-24919.83154,-24919.79192,-24919.76429,-24919.92612,-24919.91602,-24919.90737
14,-24919.67039,-24919.63559,-24919.61002,-24919.75586,-24919.75041,-24919.74543
15,-24919.5366,-24919.47053,-24919.42181,-24919.69038,-24919.69166,-24919.68947
16,-24919.34666,-24919.30585,-24919.27622,-24919.44417,-24919.43561,-24919.42747
17,-24919.34494,-24919.30195,-24919.27106,-24919.44395,-24919.43516,-24919.42697
