All energies in eV,,,,,,
CIPSI Threshold,0.0006,0.0008,0.001,0.0006,0.0008,0.001
Root,VAR,VAR,VAR,PT,PT,PT
1,-24923.92939,-24923.91681,-24923.9089,-24923.95667,-24923.9551,-24923.95353
2,-24922.28756,-24922.2548,-24922.23288,-24922.37305,-24922.37204,-24922.37005
3,-24921.36591,-24921.33313,-24921.31108,-24921.45026,-24921.44744,-24921.44395
4,-24920.73983,-24920.69626,-24920.66559,-24920.85719,-24920.85594,-24920.85293
5,-24920.6103,-24920.56049,-24920.53124,-24920.73551,-24920.74029,-24920.74046
6,-24920.6028,-24920.56238,-24920.5327,-24920.71637,-24920.71456,-24920.71078
7,-24920.35205,-24920.31982,-24920.29858,-24920.43847,-24920.43366,-24920.42857
8,-24920.15088,-24920.07666,-24920.02768,-24920.36529,-24920.36942,-24920.3583
9,-24920.0264,-24919.98314,-24919.95395,-24920.13301,-24920.129,-24920.12399
10,-24919.68048,-24919.62702,-24919.58854,-24919.81247,-24919.81267,-24919.81158
11,-24919.64799,-24919.57269,-24919.52812,-24919.85562,-24919.8608,-24919.85581
12,-24919.59674,-24919.57155,-24919.55393,-24919.66807,-24919.66299,-24919.65825
13,-24919.47658,-24919.40864,-24919.36606,-24919.66386,-24919.62678,-24919.58789
14,-24919.38525,-24919.31866,-24919.27994,-24919.55107,-24919.56112,-24919.5651
15,-24919.38072,-24919.31721,-24919.28091,-24919.52339,-24919.55494,-24919.45656
16,-24919.34872,-24919.30835,-24919.26652,-24919.47267,-24919.46509,-24919.58954
17,-24919.21694,-24919.15844,-24919.11966,-24919.38104,-24919.36605,-24919.34903
