,var,var,var,var,var,var,var,PT,PT,PT,PT,PT,PT,PT
0,0.000640000,0.000320000,0.000160000,0.000080000,0.000040000,0.000020000,0.000010000,0.000640000,0.000320000,0.000160000,0.000080000,0.000040000,0.000020000,0.000010000
0,-55.74573921,-55.74621022,-55.74627705,-55.74631596,-55.7463264,-55.74633084,-55.7463321,-55.74621256,-55.74630733,-55.7463182,-55.74632909,-55.74633147,-55.74633258,-55.7463329
1,-55.74539875,-55.74585872,-55.74592372,-55.74596131,-55.7459713,-55.74597556,-55.74597684,-55.74586215,-55.74595295,-55.74596353,-55.74597389,-55.74597616,-55.74597722,-55.74597755
2,-55.74471371,-55.74514681,-55.74521177,-55.74524711,-55.74525645,-55.74526042,-55.74526147,-55.74515697,-55.74523902,-55.74524949,-55.74525883,-55.74526096,-55.74526191,-55.74526216
3,-55.74367569,-55.74406895,-55.74413195,-55.7441643,-55.74417252,-55.74417598,-55.7441769,-55.74408811,-55.74415642,-55.74416646,-55.74417452,-55.74417643,-55.74417722,-55.74417742
4,-55.7422715,-55.74261074,-55.74266896,-55.74269803,-55.74270484,-55.74270749,-55.74270812,-55.74264162,-55.74269016,-55.74269934,-55.74270612,-55.74270787,-55.74270842,-55.74270853
5,-55.74048253,-55.74075225,-55.74080138,-55.74082766,-55.74083258,-55.74083407,-55.74083446,-55.74079776,-55.74081914,-55.74082678,-55.74083272,-55.74083434,-55.74083463,-55.74083467
