,var,var,var,var,var,var,PT,PT,PT,PT,PT,PT
0,0.00064,0.00032,0.00016,0.00008,0.00004,0.00002,0.00064,0.00032,0.00016,0.00008,0.00004,0.00002
0,-55.75679191,-55.75776612,-55.75797719,-55.75810857,-55.75815559,-55.75817657,-55.75797009,-55.75808943,-55.75813913,-55.75817224,-55.75818282,-55.7581868
1,-55.75639703,-55.75734354,-55.75754818,-55.757676,-55.75772117,-55.75774107,-55.75754267,-55.75765662,-55.75770458,-55.75773674,-55.75774696,-55.75775075
2,-55.75560335,-55.75649267,-55.75668657,-55.75680603,-55.75684807,-55.75686641,-55.75668436,-55.7567876,-55.75683237,-55.75686183,-55.75687146,-55.75687493
3,-55.75440286,-55.75520915,-55.7553866,-55.75549258,-55.75552918,-55.75554498,-55.7553881,-55.75547529,-55.75551512,-55.7555405,-55.75554892,-55.75555186
4,-55.7527829,-55.75348265,-55.75363846,-55.75372411,-55.75375292,-55.75376511,-55.75364279,-55.75370875,-55.75374194,-55.75376154,-55.75376795,-55.75377008
5,-55.75072539,-55.75129948,-55.7514283,-55.75148511,-55.7515038,-55.75151093,-55.7514327,-55.75147316,-55.75149781,-55.7515097,-55.75151301,-55.75151395
