,var,var,var,var,var,var,PT,PT,PT,PT,PT,PT
0,0.00064,0.00032,0.00016,0.00008,0.00004,0.00002,0.00064,0.00032,0.00016,0.00008,0.00004,0.00002
0,-55.75694696,-55.75796683,-55.75821581,-55.7583626,-55.7584218,-55.75844515,-55.75821478,-55.75834303,-55.75840262,-55.75843942,-55.75845317,-55.75845727
1,-55.7565454,-55.75753433,-55.75777718,-55.7579175,-55.75797413,-55.75799637,-55.75777567,-55.75789809,-55.75795579,-55.75799082,-55.75800394,-55.75800784
2,-55.75573924,-55.75666457,-55.75689258,-55.75702353,-55.75707618,-55.75709655,-55.75689541,-55.7570058,-55.75705909,-55.75709105,-55.75710318,-55.75710674
3,-55.75452239,-55.75535651,-55.75556358,-55.75567794,-55.75572389,-55.75574117,-55.75556989,-55.7556625,-55.75570928,-55.75573621,-55.75574658,-55.75574954
4,-55.75288577,-55.75360434,-55.7537854,-55.75387415,-55.7539107,-55.7539237,-55.75379274,-55.75386201,-55.75390066,-55.75392007,-55.75392779,-55.75392989
5,-55.75081622,-55.75140163,-55.7515525,-55.75160489,-55.75162878,-55.751636,-55.75155514,-55.75159695,-55.75162636,-55.75163516,-55.75163895,-55.75163989
